"","DT2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14",13,65.3737614076754,65.3467221556935,65.4596806489331,65.6233635648733,65.8092693594764,66.004799930323,66.203741983711,66.4029281159837,66.6007697164804,66.79652780925,66.9899241958588,67.1809259103226,67.3696237049923,67.5561635751083,67.7407088473003,67.9234200219599,68.104444891019,68.2839145101137,68.4619424028744,68.6386254496967,68.8140455600534,68.9882716168611,69.1613614146747,69.3333634515303,69.5043185143097,69.6742610424338,69.8432202785578,70.0112212263965,70.1782854401342,70.3444316702535,70.5096763889861
"15",14,64.4061953218413,64.3792874305639,64.4916998395122,64.6546039061004,64.839642798422,65.0342816311222,65.2323371939442,65.4306564756575,65.6276573117297,65.8226030537078,66.0152157148185,66.2054615017539,66.3934298829226,66.579265423597,66.7631300337727,66.9451828858559,67.1255705617601,67.3044230300611,67.4818528432282,67.6579560141367,67.8328136746362,68.006494006592,68.1790541680553,68.3505420746971,68.5209979763996,68.6904558136811,68.8589443624412,69.0264881869555,69.1931084253806,69.358823432437,69.5236493023282
"16",15,63.4411658325443,63.414393073698,63.5262435481292,63.6883453717818,63.872490209392,64.0662081147831,64.2633468662901,64.4607683529118,64.6568971491487,64.8509991043122,65.0427965419996,65.2322548985011,65.4194623912083,65.6045621750625,65.787714756174,65.9690779885693,66.148797252718,66.3270014387917,66.503802137347,66.6792945037447,66.8535589029433,67.0266628270881,67.1986628094875,67.3696061954626,67.5395327099971,67.7084758067467,67.8764638067091,68.0435208462828,68.2096676587862,68.3749222139308,68.5393002381601
"17",16,62.4804537835711,62.4538141564859,62.5651105828178,62.7264194206326,62.9096776792984,63.1024791376039,63.2987021924389,63.495223638289,63.6904749507908,63.8837246928558,64.07469572087,64.2633529100339,64.4497834164676,64.6341291545474,64.8165493783329,64.9972007601429,65.1762276032239,65.3537578334489,65.5299021853478,65.7047550559042,65.8783961366916,66.0508923188419,66.222299595442,66.3926648222495,66.5620272767335,66.7304199999141,66.8978709291429,67.0644038413703,67.2300391307929,67.3947944452133,67.5586852038824
"18",17,61.5228809720944,61.4963795935236,61.607100553054,61.7675851730758,61.9499211161414,62.141768258063,62.3370368122344,62.5326191126288,62.7269538733555,62.919312545254,63.1094186010172,63.2972363881871,63.4828520083954,63.6664061291185,63.8480567406205,64.0279593206183,64.2062570833003,64.3830769804845,64.5585288833265,64.7327064254559,64.905688622227,65.0775417627609,65.2483213004383,65.4180736031732,65.5868375035667,65.7546456333356,65.9215255499998,66.0875006751901,66.2525910682869,66.4168140595551,66.5801847654022
"19",18,60.5683567302148,60.541999559906,60.6521201571019,60.8117444962205,60.9931171910246,61.1839670082308,61.3782373631003,61.5728368410674,61.7662117567257,61.9576366219854,62.1468355962421,62.3337725148726,62.5185324126332,62.701254685079,62.8820960294697,63.0612107000126,63.2387407954312,63.4148122704745,63.5895341134772,63.7629991786331,63.935285791989,64.1064596301268,64.2765755983258,64.4456795699983,64.6138099276112,64.7809988894074,64.947273629753,65.1126572122809,65.2771693593548,65.4408270818467,65.6036451917031
"20",19,59.6166718351049,59.5904650949095,59.699959366533,59.8586859401986,60.0390530163062,60.2288611858729,60.4220885075178,60.6156605479243,60.8080315842362,60.9984793547999,61.186728765355,61.3727431432066,61.5566064328528,61.7384567227214,61.91844937858,62.0967373937999,62.2734617175741,62.4487472775578,62.6227021533501,62.7954183976155,62.9669736283725,63.1374328938279,63.3068505377322,63.4752719275507,63.6427349857769,63.8092715086317,63.9749082798055,64.1396679982222,64.3035700431521,64.4666311004899,64.6288656725161
"21",20,58.6675041731869,58.6414538408111,58.7502968579776,58.908089746799,59.0874107041059,59.2761349732266,59.4682766385086,59.6607789414787,59.8521044607523,60.0415343112986,60.22879419468,60.4138469272392,60.5967753348493,60.7777161598606,60.9568233950618,61.1342487330978,61.3101319372387,61.484596875817,61.6577506916332,61.8296846115999,62.0004755248648,62.170187833303,62.3388753035964,62.5065827837164,62.6733477242649,62.8392014888418,63.0041704609262,63.1682769660512,63.3315400323949,63.4939760134218,63.65559909473
"22",21,57.7204371130211,57.6945516107738,57.8027083464418,57.9595175274487,58.1377365954399,58.325319493048,58.516318264247,58.7076947575611,58.8979202766559,59.0862794720809,59.2724988634659,59.4565407107027,59.6384866452754,59.8184719774968,59.9966492414066,60.173168748309,60.3481690020851,60.5217727458305,60.694086126792,60.8651994937938,61.0351889603448,61.204118239956,61.3720404841893,61.538999986795,61.7050336945268,61.8701725087167,62.0344423849211,62.1978652491982,62.3604597539331,62.5222418966434,62.6832255237536
"23",22,56.7752239006848,56.749506296945,56.8569639177499,57.0127707272842,57.1898666181699,57.3762856596687,57.5661185700903,57.7563461782198,57.945448707432,58.1327144411656,58.3178707607547,58.5008793840772,58.6818207474325,58.8608287210576,59.0380543694592,59.2136466115208,59.3877426816008,59.560464188916,59.7319162781638,59.9021884146726,60.071355932333,60.2394818535409,60.4066187130087,60.5728102493649,60.7380929052693,60.9024971200476,61.0660484219748,61.228768338553,61.3906751474834,61.5517844915685,61.7121098793577
"24",23,55.8314191799143,55.805871009366,55.9126230662235,56.0674179853772,56.2433796454269,56.4286229360747,56.6172776113127,56.8063436806395,56.994310401107,57.1804697539697,57.3645500187664,57.5465123913888,57.726436123624,57.90445365122,58.080714572201,58.2553664150327,58.4285451463439,58.6003712434951,58.770948851087,58.9403665538944,59.1086989096046,59.2760082533281,59.4423465070986,59.6077568588556,59.7722752517866,59.9359316679533,60.0987512131537,60.2607550211514,60.4219609997525,60.5823844417718,60.7420385225221
"25",24,54.8886058347509,54.8632272578378,54.9692730236261,55.1230547362188,55.2978803010101,55.4819454656148,55.6694190642035,55.8573203319045,56.0441476002903,56.2291965835408,56.4121964887814,56.5931080143238,56.7720092478419,56.9490312079152,57.1243220411115,57.2980278988283,57.470283492102,57.6412081776983,57.8109051107418,57.979462005596,58.1469526535154,58.3134387117932,58.478971498991,58.6435936613308,58.8073406512755,58.9702420021529,59.1323224055991,59.2936026097369,59.454100160358,59.6138300079487,59.7728050020233
"26",25,53.9463859668028,53.9211759967827,54.026519524286,54.1792935818316,54.3529889026319,54.5358815839702,54.7221793197362,54.9089204842274,55.0946124614889,55.2785547070377,55.4604773773952,55.6403406999307,55.8182216254929,55.9942497815385,56.1685718872617,56.3413327389727,56.5126658121233,56.6826893611496,56.8515055684766,57.0192012935797,57.1858495757547,57.3515114080718,57.516237518472,57.6800700236757,57.8430438970866,58.0051882344804,58.1665273240788,58.3270815387183,58.486868072167,58.645901542237,58.8041944819788
"27",26,53.0043668312357,52.9793182950638,53.0839893070527,53.2357976519283,53.4084087659241,53.5901755743476,53.7753429947506,53.9609677934503,54.1455661035259,54.3284410428301,54.5093237492972,54.6881740625555,54.8650678995319,55.0401336030204,55.2135165670612,55.3853603275648,55.5557972106235,55.7249444463582,55.8929033150707,56.0597598854371,56.2255865033433,56.3904435515062,56.5543812171823,56.7174411342177,56.8796578407893,57.0410600365727,57.2016716457827,57.3615127035986,57.5206000878295,57.6789481182817,57.8365690449507
"28",27,52.0627107859771,52.0378208938453,52.1418309382719,52.2926898093963,52.4642344583913,52.6448932599435,52.8289477195454,53.0134727095806,53.1969930000352,53.3788153462261,53.5586718852584,53.7365221060027,53.9124409354645,54.0865554766125,54.259009841088,54.4299463438937,54.5994961977173,54.7677756409412,54.9348850812954,55.1009098235858,55.2659215449886,55.4299800406911,55.5931349785133,55.7554275293495,55.9168918149501,56.0775561567338,56.2374441319254,56.3965754543415,56.5549667014877,56.7126319102453,56.8695830621149
