"","H2","v1","v1","v1","v1","v1","v1","v1","v1","v1","v1","v1","v1","v1","v1","v1","v1","v1","v1","v1","v1","v1","v1","v1","v1","v1","v1","v1","v1","v1","v1","v1"
"11",10,68.3337466243643,68.5262980097106,68.7177006967748,68.9079455255571,69.0970403503551,69.2849970108135,69.4718281522307,69.6575464508716,69.8421644265965,70.0256943989558,70.2081484783608,70.3895385658603,70.5698763550538,70.7491733345561,70.9274407906256,71.1046898098554,71.2809312819015,71.4561759022364,71.6304341749248,71.8037164154161,71.9760327533499,72.1473931353725,72.3178073279595,72.4872849202426,72.6558353268379,72.8234677906718,72.9901913858032,73.1560150202398,73.3209474387447,73.4849972256327,73.648172807554
"12",11,67.3612406757313,67.5529498696908,67.7435353967132,67.932987477879,68.1213132891613,68.3085239919722,68.4946315673212,68.6796480441041,68.8635853121193,69.0464550779392,69.228268855717,69.4090379665706,69.5887735401013,69.7674865164702,69.9451876486431,70.1218875047067,70.2975964702277,70.4723247506444,70.6460823736888,70.8188791918302,70.990724884741,71.161628961779,71.3316007644832,71.5006494690807,71.6687840890013,71.836013477398,72.0023463296682,72.1677911859774,72.3323564337791,72.4960503103307,72.6588809052033
"13",12,66.3886976899906,66.5795796753355,66.7693621502981,66.9580347535089,67.1456040191277,67.3320804658023,67.5174754444603,67.7018003695562,67.8850665325045,68.0672850573646,68.2484668913234,68.4286228037251,68.6077633872341,68.785899059559,68.9630400653512,69.13919647818,69.3143782025573,69.4885949760006,69.6618563711321,69.8341717978063,70.0055505052649,70.1760015843147,70.3455339695254,70.5141564414435,70.681877628821,70.8487060108544,71.0146499194324,71.1797175413899,71.3439169207648,71.5072559610568,71.6697424274851
"14",13,65.4169832671637,65.6070307274103,65.7960025109001,65.9838876998962,66.1706922110836,66.3564259434188,66.5410996397096,66.7247241208895,66.9073100999118,67.0888681372878,67.2694086312804,67.4489418166154,67.6274777653214,67.805026388135,67.9815974360838,68.157200502152,68.3318450229993,68.505540280725,68.6782954046714,68.8501193732628,69.0210210158749,69.1910090147346,69.3600919068428,69.5282780859203,69.6955758043722,69.8619931752688,70.0275381743393,70.192218641978,70.3560422852572,70.5190166799485,70.6811492725462
"15",14,64.4468629403936,64.636054282654,64.8241936464532,65.0112695859791,65.1972874255323,65.3822564677357,65.5661868693025,65.7490888784693,65.9309726494189,66.1118481977202,66.2917253902763,66.4706139437582,66.6485234251621,66.8254632529332,67.0014426982718,67.1764708865236,67.35055679863,67.5237092726246,67.6959370051759,67.867248553167,68.0376523353123,68.2071566338071,68.3757695960048,68.5434992361218,68.7103534369646,68.8763399516779,69.0414664055097,69.2057402975928,69.3691690027379,69.531759773238,69.6935197406808
"16",15,63.4792005833899,63.6675071155089,63.8547849814187,64.041022254017,64.2262237075121,64.4103980879186,64.5935550035451,64.7757041657699,64.9568552040852,65.1370176215093,65.3162007843524,65.4944139204328,65.6716661194097,65.8479663336822,66.023323379472,66.1977459379932,66.3712425566833,66.5438216504841,66.71549150317,66.8862602687171,67.0561359727114,67.2251265137921,67.3932396651268,67.5604830759153,67.7268642729204,67.892390662021,68.0570695297863,68.2209080450686,68.3839132606109,68.5460921146693,68.7074514326455
"17",16,62.5158811753264,62.7033054867442,62.8897213410351,63.0751164830216,63.2594952853055,63.4428660805678,63.6252380668294,63.8066205517074,63.9870227682277,64.1664538303533,64.3449227227089,64.5224382987168,64.6990092808385,64.8746442613806,65.0493517034817,65.2231399421866,65.3960171855796,65.5679915159689,65.7390708911165,65.9092631455097,66.0785759916706,66.2470170215017,66.4145937076624,66.581313404975,66.7471833518571,66.9122106717775,67.0764023747329,67.239765358744,67.4023064113666,67.5640322112183,67.7249493295157
"18",17,61.5555969071576,61.7421020483482,61.9276189115405,62.1121349398654,62.2956541264715,62.4781844111199,62.6597346008511,62.8403136178987,63.0199303163339,63.1985934377459,63.3763116009526,63.5530933000821,63.7289469047484,63.903880660788,64.0779026911748,64.2510209970209,64.4232434586364,64.5945778366376,64.7650317731008,64.9346127927568,65.1033283042225,65.2711856012678,65.4381918641136,65.6043541607584,65.7696794483309,65.9341745744666,66.0978462787042,66.2607011939018,66.4227458476688,66.5839866638114,66.744429963792
"19",18,60.5982415781997,60.7837857756598,60.9683621722427,61.1519579230738,61.3345766512535,61.5162259115969,61.696914127415,61.876649842271,62.0554415375144,62.2332975881389,62.4102262524974,62.5862356703449,62.7613338629638,62.9355287338443,63.1088280695425,63.281239540622,63.4527707026518,63.6234289972532,63.7932217531893,63.9621561874951,64.1302394066431,64.2974784077437,64.4638800797756,64.6294512048442,64.794198459466,64.9581284158749,65.12124754335,65.2835622095611,65.4450786819306,65.6058031290086,65.7657416218616
"20",19,59.6436015519127,59.8281418579409,60.0117353267391,60.1943688310802,60.3760456255176,60.5567728802175,60.7365586345803,60.9154110530221,61.0933382434513,61.2703482133229,61.4464488593708,61.6216479656212,61.7959532034763,61.9693721323483,62.1419122004679,62.3135807457754,62.4843849968652,62.6543320739782,62.823428990035,62.9916826517088,63.1590998605322,63.3256873140378,63.4914516069275,63.6563992322698,63.8205365827209,63.9838699517683,64.1464055349948,64.3081494313594,64.4691076444943,64.6292860840155,64.7886905668453
"21",20,58.6913600679765,58.8748556005616,59.0574258280269,59.239057341417,59.419753023544,59.5995196557333,59.7783648889709,59.9562965038835,60.1333222302014,60.3094497030265,60.4846864525882,60.6590399022339,60.8325173684761,61.0051260615848,61.1768730863522,61.3477654429367,61.5178100277589,61.6870136344439,61.8553829548028,62.0229245798512,62.1896450008624,62.3555506104508,62.5206477036847,62.6849424792248,62.8484410404864,63.0111493968231,63.1730734647295,63.3342190690609,63.4945919442688,63.6541977356484,63.8130420005983
"22",21,57.741054978158,57.9234505078805,58.1049436992077,58.2855208339354,58.4651843911899,58.6439407309757,58.8217970837736,58.9987608149307,59.1748392451539,59.3500396069933,59.5243690346155,59.6978345617607,59.8704431217442,60.0422015479964,60.2131165747734,60.3831948379441,60.5524428758279,60.7208671300761,60.8884739465921,61.0552695764862,61.2212601770639,61.3864518128438,61.5508504566034,61.7144619904496,61.8772922069121,62.0393468100579,62.2006314166235,62.3611515571646,62.5209126772197,62.6799201384866,62.8381792200108
"23",22,56.7925416448259,56.9738152707333,57.154209571618,57.3337105311827,57.5123202337097,57.6900446258898,57.8668905252397,58.0428648890005,58.217974635693,58.3922266018303,58.5656275317189,58.7381840753922,58.9099027885737,59.0807901331748,59.2508524779586,59.4200960992787,59.5885271818664,59.7561518196599,59.9229760166698,60.0890056878787,60.2542466601716,60.4187046732962,60.582385380848,60.7452943512801,60.9074370689351,61.0688189350966,61.2294452690577,61.3893213092066,61.5484522141255,61.7068430637014,61.8644988602488
"24",23,55.8454047968776,56.0255448181058,56.204828350587,56.3832410941139,56.5607847508775,56.7374648663406,56.9132878566735,57.0882602822168,57.2623886701194,57.4356794712934,57.6081390502513,57.7797736830261,57.9505895571049,58.1205927718928,58.2897893393387,58.4581851846343,58.6257861469594,58.7925979802664,58.9586263540999,59.1238768544487,59.2883549846266,59.4520661661815,59.6150157398289,59.777208966408,59.9386510278588,60.099347028218,60.2593019946314,60.4185208783816,60.5770085559291,60.7347698299643,60.8918094304708
"25",24,54.8992543206736,55.0782582112701,55.2564280812108,55.4337493628354,55.6102233920752,55.7858553284941,55.9606512017865,56.1346171898239,56.3077594423871,56.4800840383723,56.6515969756753,56.8223041691052,56.9922114502982,57.1613245681557,57.3296491894411,57.4971908994471,57.6639552027073,57.8299475237449,57.9951732078536,58.1596375219109,58.3233456552165,58.486302720359,58.6485137541044,58.8099837183067,58.9707175008375,59.1307199165339,59.2899957081619,59.448549547393,59.6063860357951,59.763509705832,59.9199250218746
"26",25,53.9537149632111,54.1315879382392,54.3086488549553,54.484882895634,54.6602910474128,54.8348781010866,55.0086497165804,55.1816117055664,55.3537698562948,55.525129891058,55.695697456129,55.8654781196779,56.0344773716732,56.2027006243022,56.3701532125471,56.5368403948283,56.7027673536903,56.8679391965217,57.0323609563066,57.1960375924048,57.3589739913574,57.521174967717,57.6826452648992,57.8433895560548,58.0034124449595,58.1627184669206,58.3213120896976,58.4791977144364,58.6363796766148,58.792862246998,58.9486496326028
"27",26,53.008512771984,53.1852991773012,53.3612935370919,53.536480835777,53.710861766831,53.8844408071014,54.057223300513,54.2292147450974,54.4004206188997,54.570846337713,54.7404972450891,54.9093786102776,55.0774956281361,55.2448534195534,55.4114570320249,55.5773114402935,55.7424215470289,55.9067921835404,56.0704281105182,56.233334018801,56.3955145301678,56.5569741981519,56.7177175088753,56.8777488819007,57.0370726711013,57.1956931655444,57.3536145903887,57.5108411077939,57.6673768178396,57.8232257594538,57.9783919113491
"28",27,52.0637263519541,52.2394431325009,52.414387039107,52.5885428813945,52.7619110832988,52.9344958316648,53.1063021778991,53.27733532935,53.4476004762842,53.6171027498955,53.7858472123961,53.9538388549867,54.1210825977839,54.2875832902548,54.4533457118009,54.6183745724039,54.7826745133086,54.9462501077355,55.109105861621,55.2712462143809,55.4326755396968,55.5933981463217,55.7534182789056,55.912740118836,56.0713677850948,56.2293053351278,56.3865567657263,56.543126013919,56.6990169578734,56.8542334178044,57.0087791568893
"29",28,51.1189646406607,51.2936135171972,51.4675086060499,51.640634544509,51.8129914895386,51.9845833405254,52.1554148588478,52.3254909636028,52.4948165596506,52.663396495899,52.8312355554757,52.9983384537309,53.1647098381829,53.3303542889648,53.4952763194182,53.6594803767452,53.8229708426948,53.9857520342781,54.1478282045068,54.3092035431544,54.4698821775374,54.629868173315,54.7891655353052,54.9477782083155,55.105710077988,55.2629649716552,55.4195466592071,55.5754588539667,55.730705213574,55.8852893408757,56.0392147848207
"30",29,50.173900746562,50.3474681516589,50.5203014972892,50.6923852314954,50.8637192264569,51.0343070763841,51.2041532352345,51.3732623168351,51.5416389240021,51.7092876070977,51.876212854279,52.0424190895266,52.2079106726025,52.3726918995039,52.5367670030595,52.7001401535824,52.8628154595546,53.0247969683376,53.1860886669045,53.3466944825926,53.5066182838739,53.6658638811423,53.8244350275152,53.9823354196488,54.1395686985651,54.2961384504893,54.4520482076957,54.6073014493626,54.7619016024321,54.915852042477,55.0691560945703
"31",30,49.2282581524724,49.4007174805408,49.5724637801688,49.743481274275,49.9137695127104,50.083331747254,50.2521720879223,50.4202948075795,50.5877041721447,50.7544043994125,50.9203996493645,51.0856940222112,51.2502915583477,51.4141962388,51.5774119858109,51.7399426634788,51.901792078427,52.0629639804955,52.2234620634533,52.3832899657288,52.5424512711557,52.7009495097348,52.8587881584081,53.0159706418447,53.1725003332378,53.3283805551097,53.4836145801254,53.6382056319125,53.7921568858867,53.9454714700814,54.0981524659808
"32",31,48.2815471495634,48.4528710559175,48.6235045879084,48.7934316936741,48.9626515497226,49.1311670150698,49.2989818065965,49.4660998082351,49.6325249022644,49.7982609283764,49.963311674029,50.1276808724771,50.291372202704,50.4543892898363,50.6167357056968,50.7784149694075,50.93943054802,51.0997858571682,51.2594842617373,51.4185290765514,51.5769235670738,51.7346709501217,51.8917743945924,52.0482370221997,52.2040619082203,52.3592520822471,52.5138105289506,52.6677401888448,52.821043959059,52.9737246941122,53.1257852066911
"33",32,47.3340753870386,47.5042471083636,47.6737522028203,47.842574308129,48.0107121911613,48.1781682824802,48.3449458710213,48.5110484179016,48.6764793887989,48.8412422132473,49.0053402750136,49.1687769100975,49.3315554066194,49.493679005186,49.6551508993912,49.8159742363641,49.9761521173444,50.1356875982755,50.2945836904156,50.4528433609631,50.6104695336952,50.767465089619,50.923832867633,51.079575665198,51.2346962390171,51.389197305722,51.543081542566,51.6963515881225,51.8490100429866,52.0010594704815,52.152502397366
"34",33,46.3865976363846,46.555592436466,46.7239454498215,46.8916399721053,47.0586743274398,47.2250504851539,47.3907712741941,47.5558397016384,47.720258786164,47.8840315175613,48.0471608471146,48.2096496855565,48.3715009028933,48.5327173287052,48.6933017525777,48.8532569245792,49.0125855557632,49.1712903186885,49.3293738479538,49.4868387407477,49.6436875574093,49.799922822001,49.9555470228904,50.1105626133422,50.2649720121166,50.4187776040751,50.5719817407921,50.7245867411714,50.8765948920662,51.0280084489025,51.1788296363055
