"Age","qx","px","lx","dx","Lx","Tx","ex"
58,0.00365029129768531,0.996349708702315,94543.2130829374,345.110267971854,94370.6579489515,2736996.72371547,28.9496901413162
59,0.00425976921626887,0.995740230783731,94198.1028149655,401.26217860212,93997.4717256645,2642626.06576652,28.0539202679852
60,0.00486627531083177,0.995133724689168,93796.8406363634,456.441249822757,93568.620011452,2548628.59404085,27.1717957316016
61,0.00536699149198324,0.994633008508017,93340.3993865407,500.957129365881,93089.9208218577,2455059.9740294,26.3022227263301
62,0.00589916615080931,0.994100833849191,92839.4422571748,547.675295223541,92565.604609563,2361970.05320754,25.4414502692147
63,0.00645966427993679,0.993540335720063,92291.7669619512,596.173830376367,91993.6800467631,2269404.44859798,24.5894571455499
64,0.00705577984663933,0.992944220153361,91695.5931315749,646.983918043406,91372.1011725532,2177410.76855121,23.7460786738881
65,0.00740777249933985,0.99259222750066,91048.6092135315,674.467383435139,90711.3755218139,2086038.66737866,22.9112633943302
66,0.00774804758520987,0.99225195241479,90374.1418300963,700.223151372092,90024.0302544103,1995327.29185685,22.0785199333684
67,0.00847452658177864,0.991525473418221,89673.9186787242,759.944007535105,89293.9466749567,1905303.26160244,21.2470168547957
68,0.00960319514532993,0.99039680485467,88913.9746711891,853.858249914352,88487.045546232,1816009.31492748,20.424340736574
69,0.0111698549204073,0.988830145079593,88060.1164212748,983.618724699816,87568.3070589249,1727522.26938125,19.617533335033
70,0.0125987896326822,0.987401210367318,87076.497696575,1097.05847642989,86527.96845836,1639953.96232232,18.8334855638875
71,0.0137980532299822,0.986201946770018,85979.4392201451,1186.34887904358,85386.2647806233,1553425.99386396,18.067412487845
72,0.015349261909667,0.984650738090333,84793.0903411015,1301.51135177562,84142.3346652137,1468039.72908334,17.3131999692166
73,0.0172701253213188,0.982729874678681,83491.5789893259,1441.91003242045,82770.6239731157,1383897.39441813,16.5752931154297
74,0.0195845152002954,0.980415484799705,82049.6689569054,1606.90298886572,81246.2174624726,1301126.77044501,15.857794272496
75,0.0218177956986074,0.978182204301393,80442.7659680397,1755.08383332158,79565.2240513789,1219880.55298254,15.1645774272257
76,0.0232008992180456,0.976799100781954,78687.6821347181,1825.6249829092,77774.8696432635,1140315.32893116,14.4916624558704
77,0.0255632113565575,0.974436788643443,76862.0571518089,1964.84101227149,75879.6366456732,1062540.4592879,13.8239919494906
78,0.0281496802972258,0.971850319702774,74897.2161395374,2108.3326894802,73843.0497947973,986660.822642223,13.1735313206304
79,0.0309798192190316,0.969020180780968,72788.8834500572,2254.98645043793,71661.3902248383,912817.772847425,12.5406206220176
80,0.0340746690635374,0.965925330936463,70533.8969996193,2403.41919802366,69332.1874006075,841156.382622587,11.9255622956311
81,0.0374569049663948,0.962543095033605,68130.4778015956,2551.95683232944,66854.4993854309,771824.19522198,11.3286185584905
82,0.0411509498065927,0.958849050193407,65578.5209692662,2698.61842479686,64229.2117568678,704969.695836549,10.7500090794505
83,0.0451830955102891,0.954816904489711,62879.9025444693,2841.10864234443,61459.3482232971,640740.484079681,10.1899089876379
84,0.0495816328356443,0.950418367164356,60038.7939021249,2976.82143515008,58550.3831845499,579281.135856384,9.64844724896916
85,0.0543769904664386,0.945623009533561,57061.9724669748,3102.85833283287,55510.5433005584,520730.752671834,9.12570544197735
86,0.0596018843557176,0.940398115644282,53959.114134142,3216.0648805601,52351.0816938619,465220.209371275,8.62171695804237
87,0.0652914783861379,0.934708521613862,50743.0492535819,3313.08870358697,49086.5049017884,412869.127677413,8.13646664421275
88,0.0714835575501676,0.928516442449832,47429.9605499949,3390.46231457774,45734.729392706,363782.622775625,7.66989089928021
89,0.0782187149988964,0.921781285001104,44039.4982354172,3444.7129611705,42317.1417548319,318047.893382919,7.22187822583184
90,0.0855405544594466,0.914459445540553,40594.7852742467,3472.50044052124,38858.535053986,275730.751628087,6.79227023287178
91,0.0934959096722439,0.906504090327756,37122.2848337254,3470.7817896413,35386.8939389048,236872.216574101,6.38086307551048
92,0.10213508264213,0.89786491735787,33651.5030440841,3436.99904443942,31933.0035218644,201485.322635196,5.98740931040277
93,0.111512102618816,0.888487897381184,30214.5039996447,3369.28287058501,28529.8625643522,169552.319113332,5.61162013830595
94,0.121685007804282,0.878314992195718,26845.2211290597,3266.66094259731,25211.890657761,141022.45654898,5.25316799854274
95,0.132716151801655,0.867283848198345,23578.5601864624,3129.255772971,22013.9322999769,115810.565891219,4.91168947447908
96,0.144672536736008,0.855327463263992,20449.3044134914,2958.45274398664,18970.078041498,93796.6335912418,4.58678846451911
97,0.157626174743035,0.842373825256965,17490.8516695047,2757.01604166186,16112.3436486738,74826.5555497438,4.27803956969138
98,0.171654479069432,0.828345520930568,14733.8356278429,2529.128879392,13469.2711881469,58714.21190107,3.98499164671801
99,0.186840685268341,0.813159314731659,12204.7067484509,2280.3357723797,11064.538862261,45244.9407129231,3.7071714745351
100,0.203274301783008,0.796725698216992,9924.37097607117,2017.36958079642,8915.68618567296,34180.4018506621,3.44408748252913
101,0.221051587431016,0.778948412568984,7907.00139527475,1747.85521024474,7033.07379015238,25264.7156649891,3.19523349016827
102,0.240276050718882,0.759723949281118,6159.14618503001,1479.89532113928,5419.19852446037,18231.6418748368,2.9600924100729
103,0.261058962258047,0.738941037741953,4679.25086389073,1221.56037467238,4068.47067655454,12812.4433503764,2.73813986962072
104,0.283519866465823,0.716480133534177,3457.69048921834,980.32394578333,2967.52851632668,8743.97267382185,2.52884770950061
105,0.307787071772673,0.692212928227327,2477.36654343501,762.501394111451,2096.11584637929,5776.44415749517,2.3316873204745
106,0.333998089165021,0.666001910834979,1714.86514932356,572.76168304976,1428.48430779868,3680.32831111588,2.14613278050907
107,0.362299976395023,0.637700023604977,1142.1034662738,413.784058871674,935.211436837967,2251.8440033172,1.97166375010139
108,0.392849528787048,0.607150471212952,728.319407402131,286.119936004389,585.259439399936,1316.63256647923,1.80776806590336
109,0.42581323636014,0.57418676363986,442.199471397742,188.294388032616,348.052277381434,731.373127079296,1.65394391985027
110,0.461366900003643,0.538633099996357,253.905083365126,117.143401207335,195.333382761459,383.320849697863,1.50970136012059
111,0.499694765771486,0.500305234228514,136.761682157791,68.3390967323519,102.592133791615,187.987466936404,1.37456240644591
112,0.54098799531334,0.45901200468666,68.4225854254393,37.0157973234642,49.9146867637072,85.3953331447887,1.24805767881783
113,0.585442241896343,0.414557758103657,31.4067881019752,18.3868604371837,22.2133578833833,35.4806463810815,1.12971266803466
114,0.633254046282829,0.366745953717171,13.0199276647914,8.24492187603892,8.89746672677198,13.2672884976982,1.01899863342372
115,0.684615707570859,0.315384292429141,4.77500578875251,3.26904396672175,3.14048380539164,4.36982177092621,0.915144811178928
116,0.739708226399622,0.260291773600378,1.50596182203076,1.11397234839992,0.948975647830803,1.22933796553457,0.816314163845688
117,0.798691871180781,0.201308128819219,0.391989473630844,0.313078806177388,0.23545007054215,0.280362317703768,0.71522920017949
118,0.861693897390783,0.138306102609217,0.0789106674534559,0.0679968405836765,0.0449122471616177,0.0449122471616177,0.569153051304608
119,0.928792977831114,0.0712070221688862,0.0109138268697795,0.0101366857579157,0.0109138268697795,0,0
