"","H2","v1","v1","v1","v1","v1","v1","v1","v1","v1","v1","v1","v1","v1","v1","v1","v1","v1","v1","v1","v1","v1","v1","v1","v1","v1","v1","v1","v1","v1","v1","v1"
"11",10,68.3419198957273,68.5298680763993,68.7263299999847,68.91283747362,69.1057523231618,69.2909158096252,69.4807006664078,69.6643594454825,69.8512778363422,70.0333044942864,70.2175625380361,70.3978698666994,70.5796337946467,70.7581657014628,70.9375714207595,71.1142950942563,71.2914551919841,71.4663551150133,71.6413641578222,71.8144375797982,71.9873761388283,72.1586296566043,72.3295673682297,72.499014346658,72.6680122430478,72.8356708713791,73.0027831578928,73.1686749876655,73.333950401056,73.4980992485909,73.6615820974346
"12",11,67.3693777841103,67.5565045129873,67.752128323729,67.9378592945981,68.1299902822835,68.3144195956345,68.5034701594492,68.6864356196594,68.8726655527551,69.0540381488152,69.2376503067412,69.4173411149906,69.5984988220728,69.7764499761444,69.9552865195826,70.1314634214819,70.3080890047546,70.4824743697784,70.6569813742081,70.8295707246654,71.0020377053954,71.1728359656275,71.3433306900821,71.5123496159202,71.6809313769604,71.8481876172849,72.0149089967839,72.1804226339317,72.3453308498081,72.5091243027299,72.6722622401787
"13",12,66.396799287783,66.5831191654772,66.7779193190988,66.9628867704015,67.1542465900092,67.3379532318394,67.5262806194017,67.7085628910537,67.8941140627276,68.0748414633237,68.2578161502513,68.4368981445542,68.6174568884415,68.794833935548,68.973107515751,69.148743325004,69.324839662948,69.4987152701806,69.6727246541721,69.8448339367997,70.0168329901085,70.1871792763513,70.3572339742427,70.5258274816461,70.6939954478417,70.8608513502319,71.02718360727,71.1923205779511,71.3568628835736,71.5203019994422,71.6830958690867
"14",13,65.425049051585,65.6105549251901,65.8045235687678,65.9887197085462,66.1792999741279,66.3622756008327,66.5498709783746,66.7314612574338,66.9163244656529,67.0963974903806,67.2787252080546,67.457188907944,67.6371389593053,67.8139321877947,67.9916329032419,68.1667177389226,68.3422748109828,68.5156306656678,68.6891323375082,68.8607514931999,69.032272499214,69.2021567320188,69.3717612937926,69.5399193219698,69.7076634283834,69.8741089851316,70.0400421298182,70.204792509669,70.36895901705,70.5320339813126,70.694474020631
"15",14,64.454892000612,64.6395627851332,64.8326776079442,65.0160810219764,65.2058593661794,65.3880823216434,65.5749233224989,65.7557998194288,65.9399527605393,66.1193495835951,66.3010081496603,66.4788317780461,66.6581511293857,66.8343388848901,67.0114449517228,67.1859573464348,67.3609536364266,67.5337685137171,67.7067412642934,67.8778493586191,68.0488714502065,68.2182730265638,68.3874069576783,68.555109269928,68.7224094211356,68.8884247912792,69.0539391499901,69.2182835183432,69.3820549947449,69.5447468272296,69.706814260114
"16",15,63.487191713415,63.6709993852892,63.8632305230445,64.0458123544582,64.2347584459042,64.4161991878002,64.602255128143,64.7823877903505,64.9657995457853,65.1444897636145,65.3254481341657,65.5026010784528,65.6812586611448,65.856810247959,66.0332906649013,66.2071999512769,66.3816046090889,66.5538479683252,66.7262611745602,66.8968278801436,67.0673207295253,67.2362096112802,67.4048429402775,67.5720598540071,67.7388864890382,67.9044424032264,68.0695088731871,68.2334184237906,68.39676626629,68.559046666634,68.7207134260233
"17",16,62.5238345497213,62.7067815421093,62.898128368698,63.0798851208745,63.2679924665316,63.4486421027789,63.6339012570804,63.8132763071194,63.9959304873347,64.1738959262045,64.3541335626369,64.5305937163407,64.7085653119469,64.8834551264547,65.0592824245545,65.2325599086984,65.40634260871,65.5779830439169,65.7498038853663,65.9197954344221,66.0897240589799,66.2580644399688,66.4261603278528,66.592854296416,66.759169000849,66.9242264457154,67.0888052949602,67.2522397987945,67.4151231942882,67.5769509476169,67.7381753556584
"18",17,61.5635109629266,61.7455612017733,61.935985752484,62.1168811613378,62.3041120428982,62.4839341901041,62.6683591022244,62.8469401520183,63.0287995984941,63.2060039683001,63.3854840477697,63.5612153078307,63.7384644674558,63.9126566708416,64.0877948125607,64.2604049868548,64.4335301386841,64.6045325315155,64.7757258986218,64.9451076124084,65.1144374145968,65.2821950992262,65.449719488955,65.6158568374598,65.7816261204416,65.9461519740363,66.110210300746,66.2731372163085,66.435523872043,66.596867040567,66.7576174308605
"19",18,60.6061145413457,60.7872272530534,60.9766869579131,61.15668067059,61.3429934231079,61.5219481730443,61.7054980344229,61.8832456958994,62.0642704367122,62.2406749336464,62.4193583095353,62.5943225077832,62.7708109037138,62.9442680042798,63.118679477526,63.2905855589796,63.4630164647023,63.6333447660503,63.8038747744951,63.9726113571235,64.1413072658831,64.3084477259471,64.4753663591127,64.6409133374048,64.8061037519829,64.9700650490986,65.1335702157803,65.2959573667406,65.4578154517553,65.6186426494011,65.7788879935931
"20",19,59.6514315948091,59.8315648651856,60.02001614833,60.1990670286129,60.3844193478361,60.5624663376506,60.7451000307659,60.9219747638543,61.1021248164575,61.2776907618925,61.4555385463363,61.6296978924326,61.8053876986617,61.9780728117973,62.1517208248966,62.3228868447193,62.4945877232156,62.6642068844488,62.8340387424908,63.0020960653024,63.1701242588611,63.3366142819102,63.5028942884598,63.667818593693,63.8323982040087,63.9957635425295,64.1586845304094,64.3205014046914,64.4818008003935,64.6420823929737,64.8017934558109
