"","DT2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11",10,68.9264568014839,69.2113931654608,69.4753457426692,69.7224531347503,69.9559832418555,70.178521626547,70.3921174276009,70.5983969920788,70.7986527495456,70.9939129652211,71.1849966401598,71.3725568193537,71.5571148179454,71.7390873099618,71.9188077935155,72.0965436162429,72.272509489788,72.4468782241373,72.6197892581345,72.7913554415169,72.9616684287634,73.1308029701806,73.2988203265606,73.4657709870327,73.6316968327463,73.7966328597138,73.9606085508913,74.1236489691236,74.2857756279165,74.4470071853549,74.6073599972259
"12",11,67.9535428130107,68.2372544795909,68.5001114399598,68.7462263165768,68.9788473350702,69.2005450356998,69.4133570014833,69.6189006281701,69.818461364441,70.0130619942117,70.2035171842476,70.3904765264358,70.5744585624006,70.755877718616,70.9350656540754,71.1122881955098,71.287758782424,71.4616491478482,71.6340978074255,71.8052168093626,71.9750971033877,72.1438128124962,72.3114246325596,72.4779825384483,72.6435279385552,72.8080953904751,72.9717139674672,73.1344083469832,73.2961996779558,73.4571062719594,73.6171441541392
"13",12,66.9805991017991,67.2631073946831,67.5248869859203,67.7700251725129,68.0017509851394,68.2226202981598,68.4346594070046,68.6394769603714,68.8383515835679,69.0323007022245,69.222134746187,69.4084999323952,69.5919120926224,69.7727834584514,69.9514438939981,70.1281577428385,70.3031372050405,70.4765529654172,70.6485426420049,70.8192175045478,70.9886678190343,71.1569671004625,71.3241754976742,71.4903424879596,71.6555090225872,71.819709235446,71.982971803992,72.1453210334397,72.3067777206319,72.4673598424954,72.627083104821
"14",13,66.0084804781611,66.2897741741639,66.5504653124413,66.7946158787586,67.0254357002842,67.245465966737,67.4567216640465,67.6608026725276,67.8589807752281,68.0522680238259,68.241470598964,68.4272313335725,68.6100633434071,68.7903766614998,68.9684993555394,69.1446942861296,69.3191724154761,69.4921033828409,69.6636239121533,69.8338444988098,70.0028547296071,70.1707275163762,70.3375224659198,70.5032885629992,70.6680663067915,70.8318894124336,70.9947861664029,71.1567805063367,71.3178928814555,71.4781409382948,71.6375400673214
"15",14,65.0379455887177,65.3179924485903,65.5775647899337,65.820698964124,66.0505853226317,66.2697501453222,66.4801969246715,66.6835166238705,66.8809740644622,67.0735758293164,67.2621237749953,67.4472572917812,67.629486733896,67.8092199008473,67.9867830373499,68.1624375011881,68.3363930021544,68.5088181235703,68.679848688114,68.8495944121992,69.018144200715,69.1855703610579,69.3519319577956,69.5172774837399,69.6816469870959,69.8450737657216,70.0075857167999,70.1692064121724,70.3299559552311,70.4898516638593,70.6489086148364
"16",15,64.0698549267531,64.3486118891556,64.607024510633,64.8491031648986,65.0780184247716,65.2962814016122,65.5058838785615,65.7084077245373,65.9051106562225,66.0969936731101,66.2848542172274,66.4693281657077,66.6509230570848,66.8300444164689,67.0070166354365,67.1820995473601,67.3555015948362,67.5273902958269,67.6979005665276,67.8671413423681,68.0352008467869,68.2021507850386,68.368049683087,68.5329455463658,68.6968779773034,68.8598798620507,69.0219787142478,69.1831977457211,69.3435567197255,69.503072631006,69.6617602479247
"17",16,63.1061088557455,63.3835764193207,63.6408238770225,63.8818370001773,64.1097675238221,64.3271120445143,64.535851098402,64.7375577941477,64.9334829911197,65.124622294497,65.3117688811669,65.4955552375279,65.676486190419,65.8549650818954,66.0313145329566,66.2057929289217,66.3786075170455,66.5499248183839,66.7198789084001,66.8885780050201,67.0561097116954,67.2225451911259,67.3879424884523,67.5523491777303,67.7158044698368,67.8783408916577,68.0399856239411,68.2007615673505,68.3606881920555,68.5197822149191,68.6780581393554
"18",17,62.1453801669152,62.4215033827701,62.6775343182158,62.9174334797132,63.1443332261145,63.3607152043506,63.5685483541287,63.7693967441749,63.9645041535316,64.154860615878,64.3412549027029,64.5243159990834,64.7045459333605,64.8823457967486,65.0580363870563,65.2318746010102,65.4040664595686,65.5747774635103,65.7441408301776,65.9122640473012,66.0792340893255,66.2451215702273,66.4099840503529,66.573868670087,66.7368142477251,66.8988529507945,67.060011627735,67.2203128691024,67.3797758533484,67.5384170210062,67.6962506121835
"19",18,61.1875602987477,61.4622774023018,61.7170347190568,61.9557666004526,62.1815853244357,62.3969570304246,62.6038386200319,62.8037847724078,62.9980319094834,63.1875642743488,63.3731660597044,63.5554626121135,63.7349530528959,63.9120361366027,64.0870307699983,64.2601923075768,64.4317255015951,64.601794799022,64.7705325325416,64.9380454386614,65.1044198461192,65.2697258068631,65.4340203857916,65.5973502810308,65.7597539113087,65.9212630790425,66.0819042955556,66.2416998372057,66.4006685871718,66.5588267064986,66.716188169113
"20",19,60.232435026171,60.505682711162,60.7591082335722,60.9966187986767,61.2213058272745,61.4356193419884,61.6415037271767,61.8405038949424,62.0338486122827,62.2225160963768,62.4072857749336,62.5887792084465,62.7674924940935,62.9438219566272,63.1180845375407,63.2905339897805,63.4613737493473,63.6307671711189,63.7988456721524,63.9657152125254,64.1314614546022,64.2961538712081,64.4598490175107,64.622593137302,64.7844242394,64.9453737521266,65.105467841767,65.2647284633869,65.4231741984453,65.5808209225526,65.7376823378975
