"","DT2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11",10,69.7239073300812,69.7155413657224,69.7250388599808,69.7831856851126,69.8638333021538,69.9608683589465,70.0664701363866,70.1775055694298,70.2918329670732,70.4084759874416,70.5268736567571,70.6467596181394,70.767974940215,70.8904078369408,71.0139538875346,71.1385092830321,71.2639713484092,71.3902426129871,71.5172334861423,71.6448634734308,71.7730610819231,71.9017630603067,72.0309133760211,72.1604621946569,72.2903649718717,72.4205816908322,72.5510762358762,72.6818158800969,72.8127708632824,72.9439140404845,73.0752205858787
"12",11,68.7502901175961,68.7419618710278,68.7514165494688,68.8093025037165,68.8895918758855,68.9862013565349,69.0913467045575,69.2019096979285,69.3157585679799,69.4319215540187,69.5498403228215,69.6692498359747,69.7899919858771,69.9119555823139,70.0350367373477,70.1591321393377,70.284139573685,70.4099619796897,70.536510119285,70.6637037922498,70.7914717454671,70.9197509190375,71.0484854299129,71.1776255573276,71.3071268399525,71.4369493177384,71.5670569092421,71.6974169022691,71.8279995343878,71.9587776436867,72.089726374514
"13",12,67.7758367120262,67.7675444333834,67.7769582823272,67.8345954459367,67.9145431001319,68.0107465424834,68.1154562985582,68.225568290986,68.3389602113945,68.4546646676594,68.5721258457718,68.6910799657564,68.8113697069544,68.9328844490419,69.0555208144439,69.1791759685612,69.3037481391596,69.4291406602071,69.5552646338537,69.6820401446883,69.8093961726702,69.9372698449262,70.0656054255423,70.1943533067205,70.3234691109036,70.4529129367966,70.582648740171,70.7126438274094,70.8428684384623,70.9732953996821,71.1038998313445
"14",13,66.8011985460725,66.7929416121953,66.8023153389913,66.8597080077763,66.9393198038401,67.0351241089204,67.1394056005555,67.2490740945915,67.3620165778836,67.4772699510815,67.5942808764421,67.7127868113075,67.8326312091696,67.953704010772,68.0759023414562,68.1991238371576,68.3232671624332,68.4482360414397,68.573941913211,68.7003051449187,68.8272549483701,68.9547286373575,69.0826706234778,69.2110314128958,69.3397667133402,69.468836684217,69.5982053208212,69.727839950724,69.8577108191214,69.987790743702,70.1180548239142
"15",14,65.8269390105306,65.8187175462226,65.8280510091548,65.8851983037624,65.9644729892066,66.0598766006307,66.163728074527,66.2729511619722,66.3854421765518,66.5002423266898,66.6168007603789,66.7348561773572,66.8542528088858,66.9748811598703,67.0966388618391,67.219424024816,67.3431357539515,67.4676781675246,67.5929630454228,67.7189110413406,67.8454516028091,67.9725222340806,68.1000674979718,68.2280380182328,68.3563895914143,68.4850824410749,68.6140806053993,68.7433514364282,68.8728651877987,69.0025946716446,69.1325149696088
"16",15,64.8534995770479,64.845314196483,64.854606698307,64.9115043496892,64.990436003125,65.0854317967956,65.1888455021109,65.2976150377147,65.4096462036964,65.5239845905864,65.6400818760154,65.7576780244654,65.8766180594937,65.9967930612825,66.118101178142,66.240441004727,66.3637120972106,66.4878189779946,66.6126737771847,66.7381974436296,66.8643196684829,66.9909781536748,67.1181176198486,67.2456888144076,67.3736476283164,67.501954354456,67.6305730786922,67.7594711819851,67.8886189305504,68.0179891348183,68.1475568622125
"17",16,63.8820320018887,63.8738830475298,63.8831341992591,63.9397797515501,64.0183647578443,64.112948068754,64.215918546985,64.324228374279,64.4357929192084,64.5496621941865,64.6652904334485,64.7824188810711,64.9008933642164,65.0206055488209,65.1414541119683,65.2633381467983,65.3861576760547,65.5098176429966,65.6342305454209,65.7593176451963,65.8850088951354,66.0112422129153,66.1379624950233,66.2651206304254,66.3926726222612,66.520578850311,66.6488034654845,66.7773138947801,66.9060804338427,67.0350759079579,67.1642753865769
"18",17,62.9116577188283,62.9035464518892,62.9127548218129,62.9691395414293,63.0473658777527,63.1415223786429,63.2440342087856,63.3518683045627,63.4629499337923,63.5763336836959,63.6914764337294,63.8081207519591,63.9261132971222,64.0453463414076,64.1657191093195,64.2871312102073,64.4094831501247,64.532680308442,64.6566355641358,64.7812705037473,64.9065153516644,65.0323082496685,65.1585942770899,65.2853244702858,65.4124549493933,65.539946185046,65.6677623963983,65.7958710590299,65.9242424999801,66.0528495608439,66.1816673141031
"19",18,61.9422774791279,61.9342053732571,61.9433692885477,61.9994829842729,62.0773366584746,62.1710497321417,62.2730850981379,62.3804250279528,62.4910050764716,62.6038845847875,62.7185231807603,62.8346648079786,62.9521569889493,63.0708926253887,63.1907715100098,63.3116937877458,63.4335604658664,63.5562773757668,63.6797577912571,63.803923634913,63.9287054119243,64.0540414955048,64.1798771535133,64.3061635739778,64.4328569971122,64.5599179864556,64.6873108305757,64.8150030540383,64.9429650150195,65.0711695705906,65.1995917949273
"20",19,60.9737508106007,60.9657194324776,60.9748371147298,61.0306689619278,61.1081351398551,61.2013872113833,61.3029273223386,61.409753700929,61.5198126023635,61.63216831221,61.7462833161174,61.8619029876835,61.9788757470058,62.0970951495253,62.2164615774802,62.3368757309501,62.4582391361911,62.5804580920884,62.7034462802027,62.8271259695189,62.9514279540561,63.0762908444156,63.2016601011541,63.3274870666196,63.4537281024597,63.5803438653767,63.7072987126689,63.8345602164012,63.9620987637062,64.0898872243558,64.2179006709303
"21",20,60.005901066228,59.9979119713284,60.0069816548784,60.0625209152711,60.1395849060151,60.2323586082714,60.3333849423381,60.4396787142756,60.5491972906936,60.661010091005,60.774582566887,60.8896615756933,61.0060964682424,61.1237814771502,61.2426175945573,61.3625060941039,61.4833490374628,61.6050532049831,61.7275326972954,61.8507101384968,61.9745166177439,62.0988909872297,62.2237789026102,62.3491318614257,62.4749063463369,62.6010631056939,62.7275665630819,62.85438433483,62.9814868331205,63.1088469359451,63.2364397093214
"22",21,59.0380513573617,59.0301061573038,59.0391260128616,59.0943615985551,59.1710083385722,59.2632860257195,59.3637799634445,59.4695221959313,59.578481630271,59.6897330163507,59.8027448823564,59.9172656234642,60.0331455535084,60.1502796040082,60.2685693946526,60.387916787315,60.5082243908334,60.6293994755264,60.7513565663184,60.8740186445488,60.997317093889,61.1211910051351,61.2455862240607,61.3704543967562,61.4957521188757,61.6214402212577,61.7474831836742,61.8738486558463,62.0005070635034,62.1274312808461,62.2545963549146
"23",22,58.0705559708332,58.0626558768658,58.0716245295412,58.1265480903364,58.2027661883122,58.2945344435056,58.3944817369688,58.4996578395113,58.6080435194546,58.7187190044175,58.8311559825347,58.9451044278254,59.0604156419801,59.1769852725638,59.2947155812933,59.4135090309496,59.5332687884114,59.6539026227311,59.7753254896767,59.8974607322422,60.0202400310947,60.1436027164359,60.2674948235352,60.391868145214,60.5166793872994,60.6418894594604,60.7674628932985,60.8933673669844,61.0195733143645,61.1460536000136,61.2727832458264
"24",23,57.103613081221,57.0957590845872,57.1046754091802,57.1592800974549,57.2350601725388,57.3263078864415,57.4256966632921,57.5302943940401,57.6380939695071,57.748181215354,57.8600310485283,57.9733950560248,58.088125548438,58.2041189043259,58.3212780405396,58.4395060327476,58.5587066167035,58.6787880695631,58.7996657856953,58.9212634759026,59.0435131225248,59.1663542985453,59.2897332309885,59.4136018607173,59.5379170042396,59.6626396498823,59.7877343803247,59.9131689009418,60.0389136520293,60.1649414865077,60.2912273987894
"25",24,56.1374513217772,56.1296441927572,56.1385073148393,56.1927877898525,56.2681224711405,56.3588408315436,56.4576615719338,56.561671000617,56.6688743323476,56.77836308414,56.8896154561662,57.0023846757962,57.1165240799743,57.2319307912348,57.3485083935795,57.4661605871899,57.5847916878771,57.7043104913033,57.8246328398631,57.9456828205418,58.0673927247177,58.1897023746058,58.3125581946305,58.4359122786421,58.5597215581697,58.6839471040108,58.8085535532719,58.933508641473,59.0587828179357,59.184348926176,59.3101819350794
"26",25,55.1722775914575,55.1645178749524,55.1733271758838,55.2272796361369,55.3021636121492,55.3923461703874,55.4905917875172,55.5940053890813,55.7006046542508,55.8094868570846,55.9201335204432,56.0322995324006,56.1458392697946,56.2606506098541,56.3766378143252,56.4937052188016,56.6117577302764,56.7307046739284,56.8504623508252,56.970955234281,57.0921159343155,57.21388453145,57.3362076560944,57.4590375632283,57.5823313071419,57.7060500484766,57.8301584858021,57.9546243915036,58.0794182303526,58.2045128426042,58.329883177492
"27",26,54.2079505860617,54.2002379514125,54.2089938063946,54.2626204831496,54.3370566631584,54.4267066388882,54.524380295313,54.6272010201275,54.7331988648483,54.8414768193529,54.9515197080512,55.0630840701034,55.1760253175704,55.2902420804959,55.4056392983759,55.5221219439278,55.6395955186568,55.7579698820784,55.87716180006,55.9970961394686,56.1177058370887,56.2389312405941,56.3607191958001,56.4830221286864,56.6057972265227,56.7290057502737,56.8526124706394,56.9765852076624,57.1008944524276,57.2255130528163,57.3504159492826
"28",27,53.24421740525,53.2365519461884,53.2452542487504,53.2985544677629,53.3725418536536,53.4616579508368,53.5587581208277,53.6609842385052,53.7663787497921,53.8740503710452,53.9834872354966,54.0944475373486,54.2067877268982,54.320407189823,54.4352115466591,54.5511064111088,54.6679978835723,54.7857963626601,54.9044190840402,55.0237913132751,55.1438463191301,55.2645247216787,55.3857735873937,55.5075455184936,55.6297978404386,55.7524919196893,55.8755926041989,55.9990677667324,56.1228879296851,56.247025953487,56.3714567746528
"29",28,52.2815232888349,52.2739054275109,52.2825536983478,52.3355245042725,52.4090589385687,52.4976360670129,52.5941571051293,52.695782564771,52.8005673936739,52.907626084864,53.0164501108316,53.1267993364143,53.2385312605918,53.3515460330804,53.465749964017,53.581049317156,53.6973508012897,53.8145653637446,53.9326107194995,54.0514125420643,54.1709044411182,54.2910273177366,54.411728467336,54.5329606763656,54.6546814161962,54.7768521662509,54.899437858964,55.0224064268216,55.1457284303092,55.2693767489715,55.3933263217415
"30",29,51.320299463291,51.3127299286547,51.3213233401703,51.3739596469785,51.4470340218764,51.5350635492834,51.6309959652067,51.7320106848164,51.836175344702,51.9426103015634,52.0508104190958,52.160537259106,52.2716493865153,52.3840477285652,52.4976392983362,52.6123310234201,52.7280302351296,52.844648443523,52.9621038564658,53.0803225683628,53.199238542071,53.318792971268,53.4389333913018,53.5596127832896,53.6807887744545,53.802422966675,53.9244803859486,54.0469290331843,54.1697395153021,54.2928847389695,54.4163396532249
"31",30,50.3609784696848,50.3534582520356,50.3619956799349,50.4142905848656,50.4868952722378,50.5743655332404,50.6696965354412,50.7700869620311,50.8736173930074,50.9794141669032,51.0869756087748,51.1960650127661,51.3065420326991,51.4183083910788,51.5312718213112,51.6453399326417,51.7604206970318,51.8764262051255,51.9932751748392,52.1108941377179,52.2292174250692,52.3481865375124,52.4677492638188,52.5878587925058,52.7084729187064,52.8295533782063,52.9510653014679,53.072976768221,53.1952584417502,53.3178832653381,53.440826207209
"32",31,49.4029429777829,49.3954725446247,49.4039534581066,49.4559036875626,49.5280340800677,49.614939430187,49.7096627538952,49.8094221673227,49.9123113120989,50.0174625634903,50.1243777409771,50.2328218876528,50.3426557571577,50.4537818759256,50.5661087065502,50.6795445493881,50.7939980270202,50.9093818208227,51.0256151688233,51.1426250495172,51.260346172154,51.3787203534539,51.4976956444525,51.6172254496161,51.7372677402665,51.8577843941262,51.9787406539188,52.1001046857679,52.2218472166821,52.3439412337108,52.4663617312132
"33",32,48.4459528777428,48.4385323972177,48.4469566053135,48.4985609593283,48.5702153059475,48.6565535070584,48.7506665569394,48.8497920530439,48.952036738257,49.0565390430401,49.1628042931492,49.270599286525,49.3797858807173,49.4902674096911,49.6019530694551,49.7147518565026,49.8285730497988,49.9433299277363,50.0589422550687,50.1753374640414,50.2924506487399,50.41022394892,50.5286056848256,50.6475494838056,50.7670135002796,50.8869597607794,51.0073536271137,51.1281633585652,51.2493597525627,51.3709158465395,51.49280666752
"34",33,47.490868447383,47.4834987346474,47.4918653118824,47.543118100591,47.6142884429664,47.7000498193059,47.793541944583,47.892022193318,47.9936106175205,48.0974517989933,48.2030546268334,48.3101876822325,48.4187139449188,48.5285375704697,48.6395685022952,48.7517164475887,48.8648913567315,48.9790071201227,49.093984043814,49.2097500277401,49.3262405640614,49.4433981281245,49.5611713213107,49.6795140052182,49.7983845282312,49.9177450761064,50.0375611397439,50.1578010812137,50.2784357776403,50.3994383257847,50.5207837939638
"35",34,46.5384878810163,46.5311703437553,46.5394776920046,46.5903691149315,46.6610418150198,46.7462098903479,46.8390630808126,46.9368790606868,47.0377915530334,47.1409514581773,47.2458713268542,47.3523215723455,47.4601663276199,47.5693105933349,47.6796650829897,47.7911402375104,47.9036467019251,48.0170990012923,48.1314180045021,48.2465320993263,48.3623771947165,48.4788961189794,48.5960377707931,48.7137562611017,48.8320101464161,48.9507617850565,49.0699768096172,49.1896236968948,49.3096734150442,49.4300991309314,49.5508759644275
"36",35,45.5897148346905,45.5824513219241,45.5906973420282,45.6412145285042,45.7113716825359,45.7959248370469,45.8881154717934,45.9852422481228,46.0854530354325,46.1879052718595,46.2921152984481,46.3978554242681,46.5049909758441,46.6134278292123,46.723077497179,46.8338511840133,46.9456602592113,47.0584199115166,47.1720516001943,47.286484226548,47.4016541401267,47.5175045442324,47.6339846552912,47.7510488526535,47.8686559188013,47.9867684013921,48.1053520905372,48.2243755927271,48.3438099813368,48.4636285068153,48.5838063534075
"37",36,44.6440319470774,44.6368247539496,44.6450068404034,44.695133862907,44.7647534492881,44.8486652941785,44.9401647892481,45.0365724599361,45.1360509185512,45.2377644164135,45.3412332450982,45.446231689137,45.5526263187495,45.6603239223767,45.7692368466323,45.8792770928581,45.9903567878187,46.1023918147649,46.2153042515289,46.3290235382508,46.4434864875781,46.5586366977553,46.6744237206596,46.7908022198067,46.9077312177296,47.0251734640465,47.1430949177346,47.2614643252052,47.3802528742823,47.4994339073347,47.6189826805147
"38",37,43.7006272261803,43.6934781289907,43.7015942653059,43.7513188012949,43.8203837948591,43.9036339470628,43.9944202463468,44.0900857630497,44.1888083145989,44.2897591787998,44.3924627217034,44.4966952649179,44.6023246610685,44.7092586395033,44.8174104070869,44.9266927879721,45.0370186911069,45.14830471755,45.260473584901,45.3734552910527,45.487187128462,45.601613105024,45.7166831210184,45.8323521355591,45.9485794213538,46.0653279389712,46.182563824256,46.3002559706714,46.4183756868525,46.5368964127628,46.6557934815223
