"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"1",0.0355941832803838,0.0350925751829093,0.034558827469237,0.0340236846883556,0.0334945197945831,0.0329730245558477,0.0324595127669622,0.03195396524301,0.0314562834634787,0.0309663511138898,0.030484049000101,0.0300092586457923,0.0295418631435569,0.0290817473397495,0.0286287978579678,0.0281829030837004,0.0277439531398775,0.027311839860537,0.0268864567643497,0.0264676990284241,0.0260554634624863,0.0256496484834548,0.0252501540904087,0.024856881839946,0.0244697348219246,0.0240886176355823,0.023713436366028,0.0233440985610989,0.0229805132085788,0.0226225907137708
"2",0.00182750457661366,0.00178543799131707,0.00174109733878741,0.00169707920706399,0.00165398686008627,0.00161194376743531,0.00157095857782876,0.00153101288011721,0.00149208228183039,0.00145414146103143,0.00141716536729937,0.00138112949772336,0.0013460099509564,0.00131178342825222,0.00127842722206691,0.00124591920196878,0.00121423780019011,0.00118336199737403,0.00115327130864261,0.00112394577000915,0.00109536592513368,0.00106751281241459,0.00104036795240844,0.00101391333556958,0.000988131410301491,0.000963005071312043,0.000938517648264775,0.000914652894718801,0.000891394977349923,0.00086872846544585
"3",0.00151747417624631,0.00148378262343845,0.00144823890225918,0.00141292159287921,0.00137831524112709,0.00134452034674478,0.00131154537529038,0.00127937703909741,0.00124799719435938,0.00121738689596695,0.00118752736373893,0.00115840020603492,0.00112998746497831,0.0011022716189856,0.00107523557523223,0.00104886265989789,0.00102313660807253,0.000998041553770875,0.000973562020158344,0.000949682910008689,0.000926389496393733,0.000903667413601007,0.000881502648274043,0.000859881530769945,0.000838790726728933,0.000818217228850664,0.000798148348872259,0.000778571709743089,0.000759475237991494,0.000740847156278729
"4",0.00125649076173798,0.00122977067670475,0.00120155359800967,0.00117348699089022,0.00114595634482276,0.00111904278013421,0.0010927543643483,0.00106708184325668,0.00104201205514558,0.00101753115439279,0.000993625381557136,0.000970281242892936,0.000947485547815328,0.000925225412300859,0.000903488254218698,0.000882261786847976,0.000861534012084311,0.00084129321369443,0.000821527950702442,0.000802227050925001,0.000783379604656827,0.000764974958504181,0.000747002709363136,0.000729452698539302,0.000712315006005692,0.00069557994479549,0.000679238055526561,0.000663280101054597,0.000647697061251882,0.000632480127908726
"5",0.00104216058836805,0.00102112507333086,0.000998885531357562,0.000976737957522656,0.000954986868140885,0.000933697358494275,0.000912876960137258,0.000892519508482848,0.0008726157152624,0.000853155713218508,0.000834129665642036,0.000815527909510562,0.00079734098628346,0.000779559645698782,0.000762174843142968,0.000745177735550329,0.000728559677025421,0.00071231221447421,0.000696427083311246,0.00068089620325742,0.000665711674230165,0.000650865772325039,0.000636350945886828,0.000622159811668256,0.000608285151074358,0.000594719906490601,0.000581457177692888,0.000568490218337634,0.000555812432530101,0.000543417371469269
"6",0.000871297295773127,0.000854796554283645,0.000837328273880815,0.000819908116113717,0.000802775828522621,0.000785983531885784,0.000769538149231463,0.000753435809977319,0.00073767015389899,0.000722234333319723,0.00070712149405618,0.000692324889190037,0.000677837904254369,0.000663654061083743,0.000649767016560522,0.000636170560174818,0.000622858611342808,0.000609825216710491,0.00059706454749682,0.000584570896888307,0.000572338677487149,0.000560362418812523,0.000548636764854096,0.000537156471676722,0.000525916405075256,0.000514911538278442,0.000504136949700841,0.000493587820741807,0.00048325943363052,0.000473147169316106
"7",0.000740281055521151,0.000727303322525801,0.000713544135372011,0.000699801403483497,0.000686264404811502,0.000672975014399116,0.000659939524876148,0.000647155698955882,0.000634619309759195,0.000622325720768397,0.000610270266444238,0.000598448342894129,0.000586855428463513,0.00057548708741003,0.000564338969512758,0.000553406808723425,0.000542686421610292,0.000532173705775735,0.000521864638290838,0.000511755274157003,0.00050184174479657,0.000492120256572481,0.000482587089336574,0.000473238595005986,0.000464071196167134,0.000455081384706737,0.000446265720469354,0.000437620829940934,0.000429143404957862,0.000420830201441014
"8",0.000645410958210119,0.000635050975552212,0.000624049973821787,0.00061304410236846,0.000602185005520158,0.000591506798820989,0.000581015167031459,0.00057070895444085,0.000560585393588821,0.000550641370805531,0.000540873731919624,0.000531279355525736,0.000521855169973187,0.000512598156738461,0.0005035053505133,0.000494573838510298,0.000485800759591688,0.000477183303367787,0.000468718709300335,0.000460404265819059,0.000452237309453249,0.000444215223978594,0.000436335439579098,0.000428595432023868,0.000420992721858492,0.000413524873610766,0.000406189495010507,0.00039898423622321,0.000391906789097292,0.000384954886424694
"9",0.000583200511491509,0.00057458735473895,0.000565428863051595,0.000556253297781757,0.000547187088475724,0.000538259056876944,0.000529474371329974,0.000520832492641346,0.000512331526596772,0.000503969279131002,0.00049574351176929,0.000487652003117299,0.000479692563319602,0.000471863037119122,0.000464161304159264,0.000456585278624513,0.000449132908727637,0.000441802176166651,0.000434591095581268,0.000427497714015952,0.000420520110391189,0.000413656394983245,0.000406904708912394,0.00040026322363948,0.000393730140470706,0.000387303690070493,0.000380982131982302,0.000374763754157266,0.000368646872490524,0.000362629830365119
"10",0.000550718993315529,0.000542960502306086,0.000534704861190331,0.000526427601088875,0.000518242762226692,0.00051017651291007,0.000502233707963712,0.000494414051877259,0.000486716021995903,0.000479137820408638,0.000471677604635164,0.000464333543270701,0.000457103829150912,0.000449986682211635,0.000442980349852643,0.000436083106700727,0.000429293254232059,0.000422609120365371,0.00041602905905298,0.000409551449876095,0.000403174697645939,0.00039689723201095,0.000390717507070078,0.000384634000992088,0.000378645215640789,0.000372749676206106,0.000366945930840885,0.00036123255030336,0.000355608127605187,0.000350071277664954
